papertitle,rmd_codelines,runall1,runall2,figure,codelines,parameter,widget,options,runfigure1,runfigure2,origin_param,origin_opts,required_changes,why_excluded,data,format
Timescales of carbon turnover in soils with mixed crystalline mineralogies,,,,,,,,,,,,,,No figures,,
Underestimation of boreal soil carbon stocks by mathematical soil carbon models linked to soil nutrient status,,,,,,,,,,,,,,No figures,,
Temperature and moisture effects on greenhouse gas emissions from deep active-layer boreal soils,,,,,,,,,,,,,,Paper not based on parameters,csv,open
Tidy data,220,9,7,figure1,7,subset,radio,"hod, mod, yod",2,1,paper,paper,"value, eval, wrap",included,"txt, csv, rds, sav",both
,,,,figure2a,20,filter,slider,1-50,2,2,paper,look into data,"value, wrap",included,,
,,,,figure2b,22,filter,slider,1-50,5,4,paper,look into data,"value, wrap",included,,
,,,,figure3,25,filter,slider,1-50,3,2,paper,look into data,"value, wrap",included,,
,,,,figure4a,25,constrain,slider,1-350,3,2,paper,look into data,"value, wrap",included,,
,,,,figure4b,25,constrain,slider,1-350,4,2,paper,look into data,"value, wrap",included,,
The Split-Apply-Combine Strategy for Data Analysis,133,135,137,figure8,8,playerID,radio,"baberuth, orourji01",1,1,paper,look into data,"value, wrap",included,from package,binary
,,,,figure9,20,binwidth,slider,0.01-0.05,3,3,paper,code,wrap,included,,
,,,,figure10a,,,,,,,,,,Figure not based on parameter,,
,,,,figure10b,,,,,,,,,,Figure not based on parameter,,
,,,,figure11,,,,,,,,,,Figure not based on parameter,,
,,,,figure12a,,,,,,,,,,Figure not based on parameter,,
,,,,figure12b,,,,,,,,,,Figure not based on parameter,,
,,,,figure13a,7,geom,radio,"line, smooth, point",1,1,r doc,r doc,wrap,included,,
,,,,figure13b,10,geom,radio,"line, smooth, point",1,1,r doc,r doc,wrap,included,,
,,,,figure14a,13,geom,radio,"line, smooth, point",1,1,r doc,r doc,wrap,included,,
,,,,figure14b,11,geom,radio,"line, smooth, point",1,1,r doc,r doc,wrap,included,,
,,,,figure15,,,,,,,,,,Figure not based on parameter,,
,,,,figure16,,,,,,,,,,Figure not based on parameter,,
,,,,figure17a,33,month,radio,"Jan, Feb, Jun, Jul...",4,3,paper,paper,"value, wrap",included,,
,,,,figure17b,33,month2,radio,"Jan, Feb, Jun, Jul...",3,3,paper,paper,"value, wrap",included,,
Dates and Times Made Easy with lubridate,111,1,1,figure4,13,etypeCategory,radio,"shot, rebound, turnover",1,1,own  ,look into data,"value, wrap",included,from package,binary
,,,,figure5,15,graphtype,radio,"line, point, smooth",1,1,own  ,look into data,wrap,included,,
,,,,figure1,,,,,,,,,,Figure not based on parameter,,
,,,,figure2,,,,,,,,,,Figure not based on parameter,,
,,,,figure3,,,,,,,,,,Figure not based on parameter,,
Conducting Meta-Analyses in R with the metafor package,137,244,234,figure6a,14,method,radio,"REML, FE, HS",1,1,paper,paper,no changes required,included,from package,binary
,,,,figure6b,14,method,radio,"REML, FE, HS",1,1,paper,paper,no changes required,included,,
,,,,figure7a,,,,,,,,,,Figure not based on parameter,,
,,,,figure7b,,,,,,,,,,Figure not based on parameter,,
,,,,figure8,14,method,radio,"REML, FE, HS",1,1,paper,paper,no changes required,included,,
,,,,figure9,,,,,,,,,,Figure not based on parameter,,
,,,,figure10,23,iterations,slider,1000-10000,82,80,paper,paper,no changes required,included,,
,,,,figure1,,,,,,,,,,Figure not based on parameter,,
,,,,figure2,,,,,,,,,,Figure not based on parameter,,
,,,,figure3,,,,,,,,,,Figure not based on parameter,,
,,,,figure4,,,,,,,,,,Figure not based on parameter,,
,,,,figure5a,,,,,,,,,,Figure not based on parameter,,
,,,,figure5b,,,,,,,,,,Figure not based on parameter,,
Automatic Time Series Forecasting The forecast package for R,36,18,18,figure1a,5,model,radio,"""<A,M,Z>, <N,A,M,Z>, <N,A,M,Z>""",1,1,r doc,r doc,value,included,from package,binary
,,,,figure1b,5,model,radio,"""<A,M,Z>, <N,A,M,Z>, <N,A,M,Z>""",1,1,r doc,r doc,value,included,,
,,,,figure1c,5,model,radio,"""<A,M,Z>, <N,A,M,Z>, <N,A,M,Z>""",1,1,r doc,r doc,value,included,,
,,,,figure1d,5,model,radio,"""<A,M,Z>, <N,A,M,Z>, <N,A,M,Z>""",1,1,r doc,r doc,value,included,,
,,,,figure2a,4,approx,radio,"true, false",1,1,r doc,r doc,no changes required,included,,
,,,,figure2b,,,,,,,,,,Figure not based on parameter,,
,,,,figure2c,4,approx,radio,"true, false",2,2,r doc,r doc,no changes required,included,,
,,,,figure2d,4,approx,radio,"true, false",14,15,r doc,r doc,no changes required,included,,
mice: Multivariate Imputation by Chained Equations in R,253,223,220,figure5,22,maxit,slider,5-20,28,25,paper,r doc,wrap,included,from package,binary
,,,,figure1,,,,,,,,,,Figure not based on parameter,,
,,,,figure2,,,,,,,,,,Figure not based on parameter,,
,,,,figure3,,,,,,,,,,Figure not based on parameter,,
,,,,figure4,,,,,,,,,,Figure not based on parameter,,
,,,,figure6,29,maxit,slider,5-20,27,25,paper,r doc,wrap,included,,
,,,,figure7,,,,,,,,,,Figure not based on parameter,,
,,,,figure8,12,maxit,slider,5-20,40,38,paper,r doc,wrap,included,,
,,,,figure9,10,maxit,slider,5-20,35,31,paper,r doc,wrap,included,,
,,,,figure10,10,maxit,slider,5-20,34,32,paper,r doc,wrap,included,,
,,,,figure11,31,T <- 20,slider,3-30,64,62,paper,paper,no changes required,included,,
,,,,figure12,31,T <- 20,slider,3-30,65,65,paper,paper,wrap,included,,
,,,,figure13,36,T <- 20,slider,3-30,66,62,paper,paper,wrap,included,,
,,,,figure14,36,T <- 20,slider,3-30,67,64,paper,paper,wrap,included,,
Tutorial Survival Estimation for Cox Regression Models,,,,,,,,,,,,,,Paper not based on parameters,csv,open
Support Vector Machines in R (JStatSoft),46,2,1,figure1,5,kernel,radio,"laplacedot, besseldot. anovadot",1,1,paper,paper,no changes required,included,from package,binary
,,,,figure2,4,kernel,radio,"radial, linear, polynomial",1,1,paper,paper,no changes required,included,,
